Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0016328,3.4694E-18,0.0047309,0,0,0,2.5434,0.0062816,7.5177E-19,1.9873E-05,0.0063726,5.9154E-18,0.012605,0,0,0,0,0,0,package://new_full_arm/meshes/base_link.STL,0.65098,0.61961,0.58824,1,0,0,0,0,0,0,package://new_full_arm/meshes/base_link.STL,,BasePlate1-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,9.7283E-08,0.051917,0.0072668,0,0,0,0.54797,0.00091144,1.3732E-11,4.8894E-11,0.00069669,-5.2095E-05,0.00053432,0,0,0,0,0,0,package://new_full_arm/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://new_full_arm/meshes/link1.STL,,Shoulder base-1,Origin_j1,Axis1,j1,revolute,0.027574,0,0.01,1.5708,0,0.085128,base_link,0,1,0,100,3,-3.14159,3.14159,,,,,,,,
link2,-0.054596,0.25,-1.3382E-07,0,0,0,1.2667,0.039117,-1.5902E-09,-1.7286E-09,0.0005531,-1.1583E-08,0.039245,0,0,0,0,0,0,package://new_full_arm/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://new_full_arm/meshes/link2.STL,,upper arm ccylinder-1,Origin_j2,Axis2,j2,revolute,0,0.065,0.055404,0.21527,1.5708,0,link1,-1,0,0,100,3,-1.57,1.57,,,,,,,,
link3,-0.058951,0.2237,8.2827E-08,0,0,0,0.96572,0.03397,0.0010363,1.4479E-09,0.0006647,-4.3386E-08,0.0344,0,0,0,0,0,0,package://new_full_arm/meshes/link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://new_full_arm/meshes/link3.STL,,lower arm cylinder-1,Origin_j3,Axis3,j3,revolute,0,0.5,0,0.81951,0,3.1416,link2,1,0,0,100,3,-1.57,0.2,,,,,,,,
link4,-1.298E-07,0.01729,0.028582,0,0,0,0.16716,0.00016562,2.1366E-11,8.9114E-12,8.1288E-05,-1.7382E-05,0.00011862,0,0,0,0,0,0,package://new_full_arm/meshes/link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://new_full_arm/meshes/link4.STL,,wrist cylinder-1,Origin_j4,Axis4,j4,revolute,0,0.5,0,1.5708,0.71566,1.5708,link3,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
link5,-4.0132E-05,0.00035719,0.016531,0,0,0,0.012392,1.7185E-06,1.2764E-10,6.7594E-10,1.7459E-06,-2.2016E-08,2.2863E-06,0,0,0,0,0,0,package://new_full_arm/meshes/link5.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://new_full_arm/meshes/link5.STL,,Gripper assembly-1/Robot Flans-2;Gripper assembly-1/Pnoma cover-3;Gripper assembly-1/Gvde-1;Gripper assembly-1/kol two hole plate-1;Gripper assembly-1/pim-2;Gripper assembly-1/pim-1;Gripper assembly-1/Vida-4;Gripper assembly-1/Vida-3;Gripper assembly-1/kol two hole plate-2;Gripper assembly-1/Vida-1;Gripper assembly-1/Vida-2,Origin_j5,Axis5,j5,revolute,0,0.071064,0.034596,1.5708,1.4722,3.1416,link4,0,0,1,100,3,-3.14159,3.14159,,,,,,,,
left_link1,0.010447,-0.00020644,0.070298,0,0,0,0.032818,4.0101E-05,-9.568E-09,4.9651E-06,3.8682E-05,6.8529E-08,4.3645E-06,0,0,0,0,0,0,package://new_full_arm/meshes/left_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://new_full_arm/meshes/left_link1.STL,,Gripper assembly-1/Kol-2,Origin_left_j1,Axis6,left_j1,revolute,0,0,0.049261,0,0.1527,0,link5,0,1,0,100,3,-0.4,0.4,,,,,,,,
left_link2,0.020351,-6.6613E-16,0.009108,0,0,0,0.001747,1.1011E-07,1.2408E-23,2.9779E-23,1.0301E-07,1.9914E-22,1.8414E-07,0,0,0,0,0,0,package://new_full_arm/meshes/left_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://new_full_arm/meshes/left_link2.STL,,Gripper assembly-1/KOl halkasi-2,Origin_left_j2,Axis7,left_j2,prismatic,-0.0028156,0,0.018295,0,0,0,left_link1,0,0,1,100,3,-0.02,0.02,,,,,,,,
left_link3,-0.027506,5.0083E-08,-0.0215,0,0,0,0.007033,1.3726E-07,-2.8546E-13,6.3831E-13,2.4108E-06,-1.5872E-12,2.4939E-06,0,0,0,0,0,0,package://new_full_arm/meshes/left_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://new_full_arm/meshes/left_link3.STL,,Gripper assembly-1/bend rod-4;Gripper assembly-1/bend rod-1,Origin_left_j3,Axis8,left_j3,revolute,-0.0014736,0,0.0095755,-3.1416,-1.4181,3.1416,left_link2,0,1,0,100,3,-0.04,0.04,,,,,,,,
right_link1,0.010377,0.00066856,0.070755,0,0,0,0.032818,4.0101E-05,-9.5678E-09,4.9651E-06,3.8682E-05,6.8528E-08,4.3645E-06,0,0,0,0,0,0,package://new_full_arm/meshes/right_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://new_full_arm/meshes/right_link1.STL,,Gripper assembly-1/Kol-1,Origin_right_j1,Axis9,right_j1,revolute,0,0,0.048799,0,0.1527,3.1416,link5,0,-1,0,100,3,-0.4,0.4,,,,,,,,
right_link2,-0.020543,-0.000875,0.0078609,0,0,0,0.001747,1.1011E-07,3.7554E-22,2.9696E-22,1.0301E-07,2.5146E-22,1.8414E-07,0,0,0,0,0,0,package://new_full_arm/meshes/right_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://new_full_arm/meshes/right_link2.STL,,Gripper assembly-1/KOl halkasi-1,Origin_right_j2,Axis10,right_j2,prismatic,-0.0030777,0,0.019999,0,0,3.1416,right_link1,0,0,1,100,3,-0.02,0.02,,,,,,,,
right_link3,-0.027506,5.0083E-08,0.0215,0,0,0,0.007033,1.3726E-07,-2.8546E-13,6.3831E-13,2.4108E-06,-1.5872E-12,2.4939E-06,0,0,0,0,0,0,package://new_full_arm/meshes/right_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://new_full_arm/meshes/right_link3.STL,,Gripper assembly-1/bend rod-3;Gripper assembly-1/bend rod-2,Origin_right_j3,Axis11,right_j3,revolute,0.0012817,0,0.0083284,0,-1.4181,0,right_link2,0,1,0,100,3,-0.04,0.04,,,,,,,,
middle_link1,-4.5837E-08,-7.7768E-08,-0.016146,0,0,0,0.0020792,3.117E-07,8.2278E-13,1.9501E-12,6.7708E-07,3.2517E-12,3.7868E-07,0,0,0,0,0,0,package://new_full_arm/meshes/middle_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://new_full_arm/meshes/middle_link1.STL,,Gripper assembly-1/Kol hareket ettirici-1,Origin_middle_j1,Axis5,middle_j1,prismatic,0,0,0,-3.1416,0,-3.1416,link5,0,0,-1,100,3,-0.02,0.02,,,,,,,,
